Training set losses. Units: meV (U), meV/Å (F), meV (σ), % (R2)
    Step |      Loss |   U R2 |     U MAE |    U RMSE |   F R2 |     F MAE |    F RMSE
  881100 |  5.31e-04 |     -- |  4.52e+00 |  6.27e+00 |     -- |  2.15e+01 |  3.20e+01
  885105 |  5.60e-04 |     -- |  4.30e+00 |  5.99e+00 |     -- |  2.18e+01 |  3.29e+01
  889110 |  5.52e-04 |     -- |  6.35e+00 |  8.33e+00 |     -- |  2.17e+01 |  3.22e+01
  893115 |  5.36e-04 |     -- |  4.49e+00 |  5.95e+00 |     -- |  2.14e+01 |  3.22e+01
  897120 |  5.29e-04 |     -- |  4.43e+00 |  5.99e+00 |     -- |  2.12e+01 |  3.20e+01
  901125 |  5.72e-04 |     -- |  5.03e+00 |  6.71e+00 |     -- |  2.19e+01 |  3.31e+01
  905130 |  5.11e-04 |     -- |  5.07e+00 |  6.42e+00 |     -- |  2.12e+01 |  3.13e+01
  909135 |  5.30e-04 |     -- |  6.04e+00 |  7.81e+00 |     -- |  2.12e+01 |  3.16e+01
  913140 |  5.35e-04 |     -- |  5.08e+00 |  6.70e+00 |     -- |  2.10e+01 |  3.20e+01
  917145 |  5.25e-04 |     -- |  5.25e+00 |  7.00e+00 |     -- |  2.08e+01 |  3.16e+01
  921150 |  5.54e-04 |     -- |  5.60e+00 |  7.13e+00 |     -- |  2.14e+01 |  3.25e+01
  925155 |  4.90e-04 |     -- |  4.59e+00 |  6.43e+00 |     -- |  2.05e+01 |  3.06e+01
  929160 |  5.66e-04 |     -- |  4.85e+00 |  6.38e+00 |     -- |  2.14e+01 |  3.30e+01
  933165 |  5.67e-04 |     -- |  5.09e+00 |  7.03e+00 |     -- |  2.18e+01 |  3.29e+01
  937170 |  5.23e-04 |     -- |  5.68e+00 |  7.15e+00 |     -- |  2.09e+01 |  3.15e+01
  941175 |  4.39e-03 |     -- |  4.65e+00 |  6.40e+00 |     -- |  2.35e+01 |  9.35e+01
